"","subject","trial","stimulus","response","dangerous","correct","eyes","teeth","spots","arms","color"
"223",3,15,"01110.jpg",0,0,1,"0","1","1","1","0"
"224",3,16,"10011.jpg",0,0,1,"1","0","0","1","1"
"225",3,17,"11101.jpg",1,1,1,"1","1","1","0","1"
"226",3,18,"00000.jpg",0,0,1,"0","0","0","0","0"
"227",3,19,"00001.jpg",0,0,1,"0","0","0","0","1"
"228",3,20,"00101.jpg",0,0,1,"0","0","1","0","1"
"229",3,21,"11000.jpg",1,0,0,"1","1","0","0","0"
"230",3,22,"11000.jpg",0,0,1,"1","1","0","0","0"
"231",3,23,"00010.jpg",0,0,1,"0","0","0","1","0"
"232",3,24,"01011.jpg",0,0,1,"0","1","0","1","1"
"233",3,25,"10101.jpg",0,1,0,"1","0","1","0","1"
"234",3,26,"01111.jpg",0,0,1,"0","1","1","1","1"
"235",3,27,"00111.jpg",0,0,1,"0","0","1","1","1"
"236",3,28,"01001.jpg",0,0,1,"0","1","0","0","1"
"237",3,29,"01100.jpg",0,0,1,"0","1","1","0","0"
"238",3,30,"10010.jpg",0,0,1,"1","0","0","1","0"
"239",3,31,"11001.jpg",0,0,1,"1","1","0","0","1"
"240",3,32,"10110.jpg",0,1,0,"1","0","1","1","0"
"241",3,33,"11110.jpg",1,1,1,"1","1","1","1","0"
"242",3,34,"10001.jpg",0,0,1,"1","0","0","0","1"
"243",3,35,"11010.jpg",0,0,1,"1","1","0","1","0"
"244",3,36,"10100.jpg",0,1,0,"1","0","1","0","0"
"245",3,37,"10001.jpg",0,0,1,"1","0","0","0","1"
"246",3,38,"01111.jpg",0,0,1,"0","1","1","1","1"
"247",3,39,"01101.jpg",0,0,1,"0","1","1","0","1"
"248",3,40,"11010.jpg",0,0,1,"1","1","0","1","0"
"249",3,41,"11101.jpg",1,1,1,"1","1","1","0","1"
"250",3,42,"00111.jpg",0,0,1,"0","0","1","1","1"
"251",3,43,"01010.jpg",0,0,1,"0","1","0","1","0"
"252",3,44,"10111.jpg",1,1,1,"1","0","1","1","1"
"253",3,45,"01000.jpg",0,0,1,"0","1","0","0","0"
"254",3,46,"11100.jpg",1,1,1,"1","1","1","0","0"
